source	target	number_of_paths	edge_type	edge_value	edge_count
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	Jun::MGI:96646_involved in_positive regulation of epithelial cell migration::GO:0010634	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	positive regulation of epithelial cell migration::GO:0010634_involved in_AQP1::NCBIGene:358	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_partially lethal - majority die::FBcv:0000352	104
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	partially lethal - majority die::FBcv:0000352_has phenotype_Jra::FlyBase:FBgn0001291	48
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	Jra::FlyBase:FBgn0001291_in 1 to 1 orthology relationship with_JUN::NCBIGene:3725	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	JUN::NCBIGene:3725_involved in_positive regulation of fibroblast proliferation::GO:0048146	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	positive regulation of fibroblast proliferation::GO:0048146_involved in_AQP1::NCBIGene:358	164
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	Jra::FlyBase:FBgn0001291_in 1 to 1 orthology relationship with_Jun::RGD:2943	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Jun::RGD:2943_None_positive regulation of fibroblast proliferation::GO:0048146	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_Drosophila tarsal segment 4 phenotype::FBbt:00004651PHENOTYPE	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Drosophila tarsal segment 4 phenotype::FBbt:00004651PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	Egfr::MGI:95294_involved in_positive regulation of fibroblast proliferation::GO:0048146	44
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_female sterile::FBcv:0000366	60
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	female sterile::FBcv:0000366_has phenotype_Hcf::FlyBase:FBgn0039904	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	Hcf::FlyBase:FBgn0039904_in 1 to 1 orthology relationship with_Hcfc1::MGI:105942	20
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	is part of	Hcfc1::MGI:105942_is part of_axon::GO:0030424	20
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	is part of	axon::GO:0030424_is part of_AQP1::NCBIGene:358	72
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	Egfr::FlyBase:FBgn0003731_in 1 to 1 orthology relationship with_EGFR::NCBIGene:1956	132
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	is part of	EGFR::NCBIGene:1956_is part of_nuclear membrane::GO:0031965	44
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	is part of	nuclear membrane::GO:0031965_is part of_AQP1::NCBIGene:358	56
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	partially lethal - majority die::FBcv:0000352_has phenotype_Egfr::FlyBase:FBgn0003731	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	Egfr::FlyBase:FBgn0003731_in 1 to 1 orthology relationship with_Egfr::RGD:2543	132
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Egfr::RGD:2543_None_cellular response to mechanical stimulus::GO:0071260	44
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	cellular response to mechanical stimulus::GO:0071260_involved in_AQP1::NCBIGene:358	140
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Egfr::RGD:2543_None_cellular response to dexamethasone stimulus::GO:0071549	44
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	cellular response to dexamethasone stimulus::GO:0071549_involved in_AQP1::NCBIGene:358	88
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	EGFR::NCBIGene:1956_involved in_wound healing::GO:0042060	44
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Jun::RGD:2943_None_positive regulation of epithelial cell migration::GO:0010634	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	JUN::NCBIGene:3725_involved in_positive regulation of epithelial cell migration::GO:0010634	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	Drip::FlyBase:FBgn0015872_in 1 to 1 orthology relationship with_AQP4::NCBIGene:361	12
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	AQP4::NCBIGene:361_involved in_Bile secretion::KEGG-path:maphsa04976	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	Bile secretion::KEGG-path:maphsa04976_involved in_AQP1::NCBIGene:358	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_Drosophila wing phenotype::FBbt:00004729PHENOTYPE	76
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Drosophila wing phenotype::FBbt:00004729PHENOTYPE_has phenotype_Hcf::FlyBase:FBgn0039904	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	Hcf::FlyBase:FBgn0039904_in 1 to 1 orthology relationship with_HCFC1::NCBIGene:3054	20
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	is part of	HCFC1::NCBIGene:3054_is part of_axon::GO:0030424	20
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_developmental rate defective::FBcv:0000450	68
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	developmental rate defective::FBcv:0000450_has phenotype_sgg::FlyBase:FBgn0003371	28
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	sgg::FlyBase:FBgn0003371_in 1 to 1 orthology relationship with_Gsk3b::MGI:1861437	128
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	Gsk3b::MGI:1861437_involved in_cellular response to mechanical stimulus::GO:0071260	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Drosophila wing phenotype::FBbt:00004729PHENOTYPE_has phenotype_sgg::FlyBase:FBgn0003371	28
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	sgg::FlyBase:FBgn0003371_in 1 to 1 orthology relationship with_Gsk3b::RGD:70982	64
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Gsk3b::RGD:70982_None_cellular response to mechanical stimulus::GO:0071260	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	developmental rate defective::FBcv:0000450_has phenotype_Egfr::FlyBase:FBgn0003731	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	fertile::FBcv:0000374_has phenotype_sgg::FlyBase:FBgn0003371	28
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Gsk3b::RGD:70982_None_cellular response to hydrogen peroxide::GO:0070301	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	cellular response to hydrogen peroxide::GO:0070301_involved in_AQP1::NCBIGene:358	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_lethal - all die before end of P-stage::FBcv:0002000	28
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	lethal - all die before end of P-stage::FBcv:0002000_has phenotype_sgg::FlyBase:FBgn0003371	28
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_some die during pharate adult stage::FBcv:0002038	28
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	some die during pharate adult stage::FBcv:0002038_has phenotype_sgg::FlyBase:FBgn0003371	28
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	fertile::FBcv:0000374_has phenotype_beta4GalNAcTA::FlyBase:FBgn0027538	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	beta4GalNAcTA::FlyBase:FBgn0027538_in 1 to 1 orthology relationship with_B4GALT1::NCBIGene:2683	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	is part of	B4GALT1::NCBIGene:2683_is part of_brush border membrane::GO:0031526	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	is part of	brush border membrane::GO:0031526_is part of_AQP1::NCBIGene:358	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Egfr::MGI:95294_None_positive regulation of fibroblast proliferation::GO:0048146	44
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_wing margin phenotype::FBbt:00005378PHENOTYPE	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	wing margin phenotype::FBbt:00005378PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	Gsk3b::MGI:1861437_involved in_negative regulation of apoptotic process::GO:0043066	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	negative regulation of apoptotic process::GO:0043066_involved in_AQP1::NCBIGene:358	140
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_Drosophila pretarsus phenotype::FBbt:00004653PHENOTYPE	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Drosophila pretarsus phenotype::FBbt:00004653PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Egfr::RGD:2543_None_positive regulation of fibroblast proliferation::GO:0048146	44
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	short lived::FBcv:0000385_has phenotype_bchs::FlyBase:FBgn0043362	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	bchs::FlyBase:FBgn0043362_in 1 to 1 orthology relationship with_WDFY3::NCBIGene:23001	12
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	is part of	WDFY3::NCBIGene:23001_is part of_nuclear membrane::GO:0031965	12
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	fertile::FBcv:0000374_has phenotype_Egfr::FlyBase:FBgn0003731	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	Jun::MGI:96646_involved in_negative regulation of apoptotic process::GO:0043066	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_wing vein phenotype::FBbt:00004751PHENOTYPE	76
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	wing vein phenotype::FBbt:00004751PHENOTYPE_has phenotype_sgg::FlyBase:FBgn0003371	28
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	NGLY1::NCBIGene:55768_in 1 to 1 orthology relationship with_Ngly1::MGI:1913276	12
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Ngly1::MGI:1913276_has phenotype_Abnormality of cell physiology::HP:0011017	12
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Abnormality of cell physiology::HP:0011017_has phenotype_Traf2::MGI:101835	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	Traf2::MGI:101835_in 1 to 1 orthology relationship with_TRAF2::NCBIGene:7186	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	TRAF2::NCBIGene:7186_involved in_cellular response to nitric oxide::GO:0071732	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	cellular response to nitric oxide::GO:0071732_involved in_AQP1::NCBIGene:358	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_Drosophila wing blade phenotype::FBbt:00006015PHENOTYPE	28
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Drosophila wing blade phenotype::FBbt:00006015PHENOTYPE_has phenotype_sgg::FlyBase:FBgn0003371	28
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Gsk3b::MGI:1861437_None_cellular response to mechanical stimulus::GO:0071260	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	Drip::FlyBase:FBgn0015872_in 1 to 1 orthology relationship with_Aqp4::RGD:2143	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Aqp4::RGD:2143_None_basal plasma membrane::GO:0009925	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	is part of	basal plasma membrane::GO:0009925_is part of_AQP1::NCBIGene:358	12
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	Aqp4::MGI:107387_involved in_renal water absorption::GO:0070295	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	renal water absorption::GO:0070295_involved in_AQP1::NCBIGene:358	12
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	female sterile::FBcv:0000366_has phenotype_Egfr::FlyBase:FBgn0003731	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	Egfr::MGI:95294_involved in_negative regulation of apoptotic process::GO:0043066	44
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	is part of	Gsk3b::MGI:1861437_is part of_axon::GO:0030424	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Drosophila wing phenotype::FBbt:00004729PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	EGFR::NCBIGene:1956_involved in_cellular response to dexamethasone stimulus::GO:0071549	44
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	female sterile::FBcv:0000366_has phenotype_RpS27A::FlyBase:FBgn0003942	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	RpS27A::FlyBase:FBgn0003942_in 1 to 1 orthology relationship with_RPS27A::NCBIGene:6233	20
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	RPS27A::NCBIGene:6233_involved in_negative regulation of apoptotic process::GO:0043066	20
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	partially lethal - majority die::FBcv:0000352_has phenotype_RpS27A::FlyBase:FBgn0003942	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	wing vein phenotype::FBbt:00004751PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	40
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Aqp4::RGD:2143_None_renal water absorption::GO:0070295	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE_has phenotype_sgg::FlyBase:FBgn0003371	28
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	AQP4::NCBIGene:361_involved in_renal water homeostasis::GO:0003091	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	renal water homeostasis::GO:0003091_involved in_AQP1::NCBIGene:358	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Aqp4::MGI:107387_None_basal plasma membrane::GO:0009925	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	female sterile::FBcv:0000366_has phenotype_beta4GalNAcTA::FlyBase:FBgn0027538	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	fertile::FBcv:0000374_has phenotype_bchs::FlyBase:FBgn0043362	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	fertile::FBcv:0000374_has phenotype_Hcf::FlyBase:FBgn0039904	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	is part of	Aqp4::MGI:107387_is part of_basal plasma membrane::GO:0009925	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Aqp4::RGD:2143_None_carbon dioxide transport::GO:0015670	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	wing vein phenotype::FBbt:00004751PHENOTYPE_has phenotype_Hcf::FlyBase:FBgn0039904	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_male sterile::FBcv:0000370	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	male sterile::FBcv:0000370_has phenotype_beta4GalNAcTA::FlyBase:FBgn0027538	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	Jun::MGI:96646_involved in_response to drug::GO:0042493	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	response to drug::GO:0042493_involved in_AQP1::NCBIGene:358	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Jun::MGI:96646_None_positive regulation of fibroblast proliferation::GO:0048146	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	sgg::FlyBase:FBgn0003371_in 1 to 1 orthology relationship with_GSK3B::NCBIGene:2932	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	GSK3B::NCBIGene:2932_involved in_negative regulation of apoptotic process::GO:0043066	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	JUN::NCBIGene:3725_involved in_response to drug::GO:0042493	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	male sterile::FBcv:0000370_has phenotype_RpS27A::FlyBase:FBgn0003942	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	female sterile::FBcv:0000366_has phenotype_bchs::FlyBase:FBgn0043362	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Aqp4::RGD:2143_None_sarcolemma::GO:0042383	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	is part of	sarcolemma::GO:0042383_is part of_AQP1::NCBIGene:358	12
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	Aqp4::MGI:107387_involved in_carbon dioxide transport::GO:0015670	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	Traf2::MGI:101835_in 1 to 1 orthology relationship with_Traf2::RGD:1310457	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Traf2::RGD:1310457_None_cellular response to nitric oxide::GO:0071732	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	Jun::MGI:96646_involved in_positive regulation of fibroblast proliferation::GO:0048146	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	Jra::FlyBase:FBgn0001291_in 1 to 1 orthology relationship with_jun::ZFIN:ZDB-GENE-030131-7859	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	jun::ZFIN:ZDB-GENE-030131-7859_involved in_response to drug::GO:0042493	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Aqp4::MGI:107387_None_renal water absorption::GO:0070295	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	partially lethal - majority die::FBcv:0000352_has phenotype_Hcf::FlyBase:FBgn0039904	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Jun::MGI:96646_None_positive regulation of epithelial cell migration::GO:0010634	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	fertile::FBcv:0000374_has phenotype_RpS27A::FlyBase:FBgn0003942	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Aqp4::MGI:107387_None_sarcolemma::GO:0042383	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Abnormality of cell physiology::HP:0011017_has phenotype_App::MGI:88059	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	App::MGI:88059_in 1 to 1 orthology relationship with_App::RGD:2139	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	App::RGD:2139_None_cellular response to cAMP::GO:0071320	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	cellular response to cAMP::GO:0071320_involved in_AQP1::NCBIGene:358	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	AQP4::NCBIGene:361_involved in_multicellular organismal water homeostasis::GO:0050891	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	multicellular organismal water homeostasis::GO:0050891_involved in_AQP1::NCBIGene:358	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Aqp4::RGD:2143_None_multicellular organismal water homeostasis::GO:0050891	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	short lived::FBcv:0000385_has phenotype_RpS27A::FlyBase:FBgn0003942	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	None	Aqp4::RGD:2143_None_hyperosmotic salinity response::GO:0042538	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	hyperosmotic salinity response::GO:0042538_involved in_AQP1::NCBIGene:358	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_partially lethal - majority live::FBcv:0000350	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	partially lethal - majority live::FBcv:0000350_has phenotype_beta4GalNAcTA::FlyBase:FBgn0027538	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	has phenotype	partially lethal - majority die::FBcv:0000352_has phenotype_RpL40::FlyBase:FBgn0003941	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	in 1 to 1 orthology relationship with	RpL40::FlyBase:FBgn0003941_in 1 to 1 orthology relationship with_UBA52::NCBIGene:7311	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	involved in	UBA52::NCBIGene:7311_involved in_negative regulation of apoptotic process::GO:0043066	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	932	is part of	Aqp4::MGI:107387_is part of_sarcolemma::GO:0042383	4
NGLY1::NCBIGene:55768	Aqp1::NCBIGene:11826	0	NA	NA
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	in 1 to 1 orthology relationship with	NGLY1::NCBIGene:55768_in 1 to 1 orthology relationship with_Pngl::FlyBase:FBgn0033050	412
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_short lived::FBcv:0000385	32
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	has phenotype	short lived::FBcv:0000385_has phenotype_inc::FlyBase:FBgn0025394	4
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	in 1 to 1 orthology relationship with	inc::FlyBase:FBgn0025394_in 1 to 1 orthology relationship with_kctd5a::ZFIN:ZDB-GENE-030131-727	8
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	enables	kctd5a::ZFIN:ZDB-GENE-030131-727_enables_protein complex binding::GO:0032403	8
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	enables	protein complex binding::GO:0032403_enables_NFE2L1::NCBIGene:4779	32
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_Drosophila embryo phenotype::FBbt:00000052PHENOTYPE	48
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	has phenotype	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE_has phenotype_TER94::FlyBase:FBgn0261014	20
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	in 1 to 1 orthology relationship with	TER94::FlyBase:FBgn0261014_in 1 to 1 orthology relationship with_VCP::NCBIGene:7415	32
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	is part of	VCP::NCBIGene:7415_is part of_endoplasmic reticulum membrane::GO:0005789	16
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	416	is part of	endoplasmic reticulum membrane::GO:0005789_is part of_NFE2L1::NCBIGene:4779	120
