source	target	number_of_paths	edge_type	edge_count
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	32	in 1 to 1 orthology relationship with	64
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	32	has phenotype	64
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	32	Source	32
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	32	involved in	32
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1464	in 1 to 1 orthology relationship with	2928
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1464	has phenotype	2928
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1464	enables	276
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1464	None	624
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1464	involved in	1420
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1464	Source	72
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1464	is part of	536
NFE2L1::NCBIGene:4779	Aqp1::NCBIGene:11826	0	NA	0
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	16	in 1 to 1 orthology relationship with	32
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	16	has phenotype	32
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	16	involved in	32
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	568	in 1 to 1 orthology relationship with	1136
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	568	has phenotype	1136
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	568	involved in	656
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	568	enables	68
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	568	None	200
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	568	is part of	140
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	568	Source	72
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	308	in 1 to 1 orthology relationship with	616
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	308	has phenotype	616
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	308	is part of	328
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	308	involved in	220
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	308	enables	40
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	308	None	16
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	308	Source	12
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	0	NA	0
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	0	NA	0
ENGASE::NCBIGene:64772	Aqp1::NCBIGene:11826	0	NA	0
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	0	NA	0
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	0	NA	0
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	0	NA	0
AQP3::NCBIGene:360	NGLY1::NCBIGene:55768	0	NA	0
AQP3::NCBIGene:360	AQP1::NCBIGene:358	3952	in 1 to 1 orthology relationship with	7904
AQP3::NCBIGene:360	AQP1::NCBIGene:358	3952	has phenotype	7904
AQP3::NCBIGene:360	AQP1::NCBIGene:358	3952	None	2556
AQP3::NCBIGene:360	AQP1::NCBIGene:358	3952	enables	728
AQP3::NCBIGene:360	AQP1::NCBIGene:358	3952	involved in	3492
AQP3::NCBIGene:360	AQP1::NCBIGene:358	3952	Source	336
AQP3::NCBIGene:360	AQP1::NCBIGene:358	3952	is part of	792
AQP3::NCBIGene:360	Aqp1::NCBIGene:11826	0	NA	0
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	264	in 1 to 1 orthology relationship with	528
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	264	has phenotype	528
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	264	None	36
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	264	enables	164
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	264	involved in	256
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	264	is part of	72
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	8	in 1 to 1 orthology relationship with	16
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	8	has phenotype	16
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	8	is part of	16
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	460	in 1 to 1 orthology relationship with	920
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	460	has phenotype	920
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	460	involved in	584
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	460	enables	136
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	460	Source	72
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	460	is part of	96
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	460	None	32
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	24	in 1 to 1 orthology relationship with	48
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	24	has phenotype	48
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	24	involved in	24
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	24	Source	24
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	1868	in 1 to 1 orthology relationship with	3736
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	1868	has phenotype	3736
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	1868	involved in	1888
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	1868	None	732
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	1868	Source	336
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	1868	is part of	432
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	1868	enables	348
AQP11::NCBIGene:282679	Aqp1::NCBIGene:11826	0	NA	0
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	308	in 1 to 1 orthology relationship with	616
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	308	has phenotype	616
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	308	involved in	312
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	308	None	40
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	308	enables	144
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	308	is part of	120
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	16	in 1 to 1 orthology relationship with	32
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	16	has phenotype	32
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	16	involved in	24
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	16	is part of	8
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	904	in 1 to 1 orthology relationship with	1808
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	904	has phenotype	1808
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	904	involved in	1088
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	904	None	260
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	904	Source	240
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	904	enables	100
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	904	is part of	120
