source	target	number_of_paths	edge_type	edge_count
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	204	in 1 to 1 orthology relationship with	408
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	204	has phenotype	408
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	204	enables	100
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	204	Source	48
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	204	involved in	216
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	204	None	44
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	360	in 1 to 1 orthology relationship with	720
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	360	has phenotype	720
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	360	is part of	272
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	360	enables	72
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	360	None	80
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	360	involved in	264
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	360	Source	32
ENGASE::NCBIGene:64772	Aqp1::NCBIGene:11826	0	NA	0
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	156	in 1 to 1 orthology relationship with	312
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	156	has phenotype	312
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	156	is part of	128
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	156	involved in	132
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	156	enables	48
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	156	None	4
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	236	in 1 to 1 orthology relationship with	472
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	236	has phenotype	472
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	236	Source	32
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	236	involved in	164
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	236	is part of	200
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	236	None	28
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	236	enables	48
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	168	in 1 to 1 orthology relationship with	336
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	168	has phenotype	336
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	168	is part of	240
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	168	involved in	60
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	168	enables	32
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	168	Source	4
AQP3::NCBIGene:360	NGLY1::NCBIGene:55768	20	in 1 to 1 orthology relationship with	40
AQP3::NCBIGene:360	NGLY1::NCBIGene:55768	20	has phenotype	40
AQP3::NCBIGene:360	NGLY1::NCBIGene:55768	20	enables	24
AQP3::NCBIGene:360	NGLY1::NCBIGene:55768	20	Source	4
AQP3::NCBIGene:360	NGLY1::NCBIGene:55768	20	involved in	12
AQP3::NCBIGene:360	AQP1::NCBIGene:358	4288	in 1 to 1 orthology relationship with	8576
AQP3::NCBIGene:360	AQP1::NCBIGene:358	4288	has phenotype	8576
AQP3::NCBIGene:360	AQP1::NCBIGene:358	4288	None	2660
AQP3::NCBIGene:360	AQP1::NCBIGene:358	4288	enables	1016
AQP3::NCBIGene:360	AQP1::NCBIGene:358	4288	involved in	3508
AQP3::NCBIGene:360	AQP1::NCBIGene:358	4288	Source	336
AQP3::NCBIGene:360	AQP1::NCBIGene:358	4288	is part of	1056
AQP3::NCBIGene:360	Aqp1::NCBIGene:11826	0	NA	0
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	388	in 1 to 1 orthology relationship with	776
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	388	has phenotype	776
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	388	None	36
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	388	enables	164
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	388	is part of	320
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	388	involved in	256
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	12	in 1 to 1 orthology relationship with	24
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	12	has phenotype	24
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	12	Source	4
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	12	involved in	4
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	12	is part of	16
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	680	in 1 to 1 orthology relationship with	1360
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	680	has phenotype	1360
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	680	is part of	536
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	680	involved in	584
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	680	enables	136
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	680	Source	72
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	680	None	32
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	492	in 1 to 1 orthology relationship with	984
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	492	has phenotype	984
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	492	involved in	612
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	492	Source	252
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	492	enables	120
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	3940	in 1 to 1 orthology relationship with	7880
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	3940	has phenotype	7880
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	3940	involved in	3404
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	3940	None	1704
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	3940	enables	972
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	3940	is part of	1368
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	3940	Source	432
AQP11::NCBIGene:282679	Aqp1::NCBIGene:11826	0	NA	0
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	844	in 1 to 1 orthology relationship with	1688
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	844	has phenotype	1688
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	844	is part of	688
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	844	involved in	628
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	844	enables	300
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	844	None	72
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	372	in 1 to 1 orthology relationship with	744
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	372	has phenotype	744
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	372	involved in	540
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	372	is part of	24
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	372	Source	180
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	2096	in 1 to 1 orthology relationship with	4192
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	2096	has phenotype	4192
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	2096	involved in	1908
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	2096	Source	400
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	2096	is part of	1004
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	2096	None	484
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	2096	enables	396
