source	target	number_of_paths	edge_type	edge_value	edge_count
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_lethal - all die before end of P-stage::FBcv:0002000	56
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	lethal - all die before end of P-stage::FBcv:0002000_has phenotype_TER94::FlyBase:FBgn0261014	20
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	in 1 to 1 orthology relationship with	TER94::FlyBase:FBgn0261014_in 1 to 1 orthology relationship with_VCP::NCBIGene:7415	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	VCP::NCBIGene:7415_is part of_extracellular exosome::GO:0070062	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	extracellular exosome::GO:0070062_is part of_AQP1::NCBIGene:358	20
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	64
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	in 1 to 1 orthology relationship with	Egfr::FlyBase:FBgn0003731_in 1 to 1 orthology relationship with_EGFR::NCBIGene:1956	80
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	EGFR::NCBIGene:1956_involved in_wound healing::GO:0042060	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	wound healing::GO:0042060_involved in_AQP1::NCBIGene:358	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	in 1 to 1 orthology relationship with	Jra::FlyBase:FBgn0001291_in 1 to 1 orthology relationship with_Jun::RGD:2943	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	None	Jun::RGD:2943_None_positive regulation of epithelial cell migration::GO:0010634	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_wing margin phenotype::FBbt:00005378PHENOTYPE	64
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	wing margin phenotype::FBbt:00005378PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	64
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	EGFR::NCBIGene:1956_is part of_apical plasma membrane::GO:0016324	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	apical plasma membrane::GO:0016324_is part of_AQP1::NCBIGene:358	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	lethal - all die before end of P-stage::FBcv:0002000_has phenotype_sgg::FlyBase:FBgn0003371	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	in 1 to 1 orthology relationship with	sgg::FlyBase:FBgn0003371_in 1 to 1 orthology relationship with_Gsk3b::MGI:1861437	80
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	Gsk3b::MGI:1861437_involved in_cellular response to mechanical stimulus::GO:0071260	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	cellular response to mechanical stimulus::GO:0071260_involved in_AQP1::NCBIGene:358	64
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE_has phenotype_AQP::FlyBase:FBgn0033807	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	in 1 to 1 orthology relationship with	AQP::FlyBase:FBgn0033807_in 1 to 1 orthology relationship with_AQP12A::NCBIGene:375318	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	AQP12A::NCBIGene:375318_involved in_Passive transport by Aquaporins::REACT:R-HSA-432047	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	Passive transport by Aquaporins::REACT:R-HSA-432047_involved in_AQP1::NCBIGene:358	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_some die during pharate adult stage::FBcv:0002038	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	some die during pharate adult stage::FBcv:0002038_has phenotype_sgg::FlyBase:FBgn0003371	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	in 1 to 1 orthology relationship with	sgg::FlyBase:FBgn0003371_in 1 to 1 orthology relationship with_Gsk3b::RGD:70982	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	None	Gsk3b::RGD:70982_None_cellular response to hydrogen peroxide::GO:0070301	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	cellular response to hydrogen peroxide::GO:0070301_involved in_AQP1::NCBIGene:358	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	EGFR::NCBIGene:1956_is part of_basolateral plasma membrane::GO:0016323	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	basolateral plasma membrane::GO:0016323_is part of_AQP1::NCBIGene:358	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	in 1 to 1 orthology relationship with	TER94::FlyBase:FBgn0261014_in 1 to 1 orthology relationship with_Vcp::MGI:99919	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	Vcp::MGI:99919_is part of_extracellular exosome::GO:0070062	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	in 1 to 1 orthology relationship with	Egfr::FlyBase:FBgn0003731_in 1 to 1 orthology relationship with_Egfr::RGD:2543	48
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	None	Egfr::RGD:2543_None_cellular response to mechanical stimulus::GO:0071260	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	None	Egfr::MGI:95294_None_positive regulation of fibroblast proliferation::GO:0048146	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	in 1 to 1 orthology relationship with	sgg::FlyBase:FBgn0003371_in 1 to 1 orthology relationship with_GSK3B::NCBIGene:2932	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	GSK3B::NCBIGene:2932_is part of_plasma membrane::GO:0005886	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	plasma membrane::GO:0005886_is part of_AQP1::NCBIGene:358	52
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_Drosophila pretarsus phenotype::FBbt:00004653PHENOTYPE	64
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	Drosophila pretarsus phenotype::FBbt:00004653PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	64
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	Egfr::MGI:95294_involved in_wound healing::GO:0042060	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	in 1 to 1 orthology relationship with	NGLY1::NCBIGene:55768_in 1 to 1 orthology relationship with_Ngly1::MGI:1913276	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	Ngly1::MGI:1913276_has phenotype_Abnormality of cell physiology::HP:0011017	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	Abnormality of cell physiology::HP:0011017_has phenotype_Traf2::MGI:101835	12
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	in 1 to 1 orthology relationship with	Traf2::MGI:101835_in 1 to 1 orthology relationship with_TRAF2::NCBIGene:7186	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	TRAF2::NCBIGene:7186_involved in_cellular response to nitric oxide::GO:0071732	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	cellular response to nitric oxide::GO:0071732_involved in_AQP1::NCBIGene:358	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_Drosophila wing blade phenotype::FBbt:00006015PHENOTYPE	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	Drosophila wing blade phenotype::FBbt:00006015PHENOTYPE_has phenotype_sgg::FlyBase:FBgn0003371	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	None	Gsk3b::MGI:1861437_None_cellular response to mechanical stimulus::GO:0071260	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_partially lethal - majority live::FBcv:0000350	20
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	partially lethal - majority live::FBcv:0000350_has phenotype_beta4GalNAcTA::FlyBase:FBgn0027538	20
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	in 1 to 1 orthology relationship with	beta4GalNAcTA::FlyBase:FBgn0027538_in 1 to 1 orthology relationship with_B4GALT1::NCBIGene:2683	20
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	B4GALT1::NCBIGene:2683_is part of_plasma membrane::GO:0005886	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	Gsk3b::MGI:1861437_is part of_plasma membrane::GO:0005886	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	in 1 to 1 orthology relationship with	Jra::FlyBase:FBgn0001291_in 1 to 1 orthology relationship with_JUN::NCBIGene:3725	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	JUN::NCBIGene:3725_involved in_positive regulation of epithelial cell migration::GO:0010634	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	Egfr::MGI:95294_involved in_negative regulation of apoptotic process::GO:0043066	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	negative regulation of apoptotic process::GO:0043066_involved in_AQP1::NCBIGene:358	52
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE_has phenotype_sgg::FlyBase:FBgn0003371	36
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	Egfr::MGI:95294_is part of_plasma membrane::GO:0005886	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	None	Egfr::RGD:2543_None_positive regulation of fibroblast proliferation::GO:0048146	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	enables	Egfr::MGI:95294_enables_identical protein binding::GO:0042802	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	enables	identical protein binding::GO:0042802_enables_AQP1::NCBIGene:358	44
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	Gsk3b::MGI:1861437_is part of_axon::GO:0030424	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	axon::GO:0030424_is part of_AQP1::NCBIGene:358	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	EGFR::NCBIGene:1956_involved in_cellular response to dexamethasone stimulus::GO:0071549	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	cellular response to dexamethasone stimulus::GO:0071549_involved in_AQP1::NCBIGene:358	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	Egfr::MGI:95294_is part of_apical plasma membrane::GO:0016324	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	Egfr::MGI:95294_is part of_basolateral plasma membrane::GO:0016323	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	Gsk3b::MGI:1861437_involved in_negative regulation of apoptotic process::GO:0043066	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	Source	Passive transport by Aquaporins::REACT:R-HSA-432047_Source_AQP1::NCBIGene:358	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	enables	JUN::NCBIGene:3725_enables_identical protein binding::GO:0042802	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	EGFR::NCBIGene:1956_is part of_nuclear membrane::GO:0031965	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	nuclear membrane::GO:0031965_is part of_AQP1::NCBIGene:358	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	None	Gsk3b::RGD:70982_None_cellular response to mechanical stimulus::GO:0071260	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	B4GALT1::NCBIGene:2683_is part of_basolateral plasma membrane::GO:0016323	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE_has phenotype_TER94::FlyBase:FBgn0261014	20
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	enables	Vcp::MGI:99919_enables_identical protein binding::GO:0042802	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	enables	VCP::NCBIGene:7415_enables_identical protein binding::GO:0042802	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	None	Jun::MGI:96646_None_positive regulation of fibroblast proliferation::GO:0048146	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	enables	Jun::MGI:96646_enables_identical protein binding::GO:0042802	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	GSK3B::NCBIGene:2932_involved in_negative regulation of apoptotic process::GO:0043066	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	JUN::NCBIGene:3725_involved in_response to drug::GO:0042493	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	response to drug::GO:0042493_involved in_AQP1::NCBIGene:358	12
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	Jun::MGI:96646_involved in_negative regulation of apoptotic process::GO:0043066	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	AQP12A::NCBIGene:375318_involved in_Transmembrane transport of small molecules::REACT:R-HSA-382551	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	Transmembrane transport of small molecules::REACT:R-HSA-382551_involved in_AQP1::NCBIGene:358	12
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	in 1 to 1 orthology relationship with	Traf2::MGI:101835_in 1 to 1 orthology relationship with_Traf2::RGD:1310457	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	None	Traf2::RGD:1310457_None_cellular response to nitric oxide::GO:0071732	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	Jun::MGI:96646_involved in_response to drug::GO:0042493	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	Jun::MGI:96646_involved in_positive regulation of fibroblast proliferation::GO:0048146	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	in 1 to 1 orthology relationship with	Jra::FlyBase:FBgn0001291_in 1 to 1 orthology relationship with_jun::ZFIN:ZDB-GENE-030131-7859	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	jun::ZFIN:ZDB-GENE-030131-7859_involved in_response to drug::GO:0042493	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	VCP::NCBIGene:7415_involved in_Transmembrane transport of small molecules::REACT:R-HSA-382551	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	AQP12A::NCBIGene:375318_involved in_Aquaporin-mediated transport::REACT:R-HSA-445717	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	Aquaporin-mediated transport::REACT:R-HSA-445717_involved in_AQP1::NCBIGene:358	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	None	Jun::MGI:96646_None_positive regulation of epithelial cell migration::GO:0010634	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	None	Egfr::RGD:2543_None_cellular response to dexamethasone stimulus::GO:0071549	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	JUN::NCBIGene:3725_involved in_positive regulation of fibroblast proliferation::GO:0048146	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	has phenotype	Abnormality of cell physiology::HP:0011017_has phenotype_App::MGI:88059	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	in 1 to 1 orthology relationship with	App::MGI:88059_in 1 to 1 orthology relationship with_App::RGD:2139	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	None	App::RGD:2139_None_cellular response to cAMP::GO:0071320	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	cellular response to cAMP::GO:0071320_involved in_AQP1::NCBIGene:358	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	B4GALT1::NCBIGene:2683_is part of_extracellular exosome::GO:0070062	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	None	Jun::RGD:2943_None_positive regulation of fibroblast proliferation::GO:0048146	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	B4GALT1::NCBIGene:2683_is part of_brush border membrane::GO:0031526	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	is part of	brush border membrane::GO:0031526_is part of_AQP1::NCBIGene:358	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	enables	TRAF2::NCBIGene:7186_enables_identical protein binding::GO:0042802	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	B4GALT1::NCBIGene:2683_involved in_Metabolism::REACT:R-HSA-1430728	4
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	involved in	Metabolism::REACT:R-HSA-1430728_involved in_AQP1::NCBIGene:358	4
NGLY1::NCBIGene:55768	Aqp1::NCBIGene:11826	0	NA	NA
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	in 1 to 1 orthology relationship with	NGLY1::NCBIGene:55768_in 1 to 1 orthology relationship with_Pngl::FlyBase:FBgn0033050	252
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_Drosophila embryo phenotype::FBbt:00000052PHENOTYPE	112
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	has phenotype	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	28
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	in 1 to 1 orthology relationship with	Egfr::FlyBase:FBgn0003731_in 1 to 1 orthology relationship with_egfra::ZFIN:ZDB-GENE-030918-1	16
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	is part of	egfra::ZFIN:ZDB-GENE-030918-1_is part of_integral component of membrane::GO:0016021	16
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	is part of	integral component of membrane::GO:0016021_is part of_NFE2L1::NCBIGene:4779	68
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	has phenotype	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE_has phenotype_AQP::FlyBase:FBgn0033807	12
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	in 1 to 1 orthology relationship with	AQP::FlyBase:FBgn0033807_in 1 to 1 orthology relationship with_Aqp12::MGI:2664636	4
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	is part of	Aqp12::MGI:2664636_is part of_integral component of membrane::GO:0016021	4
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	has phenotype	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE_has phenotype_TER94::FlyBase:FBgn0261014	28
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	in 1 to 1 orthology relationship with	TER94::FlyBase:FBgn0261014_in 1 to 1 orthology relationship with_VCP::NCBIGene:7415	24
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	is part of	VCP::NCBIGene:7415_is part of_endoplasmic reticulum membrane::GO:0005789	8
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	is part of	endoplasmic reticulum membrane::GO:0005789_is part of_NFE2L1::NCBIGene:4779	32
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_Drosophila tarsal segment 4 phenotype::FBbt:00004651PHENOTYPE	28
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	has phenotype	Drosophila tarsal segment 4 phenotype::FBbt:00004651PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	28
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	in 1 to 1 orthology relationship with	Egfr::FlyBase:FBgn0003731_in 1 to 1 orthology relationship with_Egfr::MGI:95294	48
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	is part of	Egfr::MGI:95294_is part of_integral component of membrane::GO:0016021	16
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	in 1 to 1 orthology relationship with	AQP::FlyBase:FBgn0033807_in 1 to 1 orthology relationship with_aqp12::ZFIN:ZDB-GENE-040718-310	4
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	is part of	aqp12::ZFIN:ZDB-GENE-040718-310_is part of_integral component of membrane::GO:0016021	4
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	involved in	Egfr::MGI:95294_involved in_positive regulation of transcription from RNA polymerase II promoter::GO:0045944	16
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	involved in	positive regulation of transcription from RNA polymerase II promoter::GO:0045944_involved in_NFE2L1::NCBIGene:4779	44
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_Drosophila pretarsus phenotype::FBbt:00004653PHENOTYPE	28
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	has phenotype	Drosophila pretarsus phenotype::FBbt:00004653PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	28
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	is part of	Egfr::MGI:95294_is part of_protein complex::GO:0043234	16
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	is part of	protein complex::GO:0043234_is part of_NFE2L1::NCBIGene:4779	48
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_lethal - all die before end of P-stage::FBcv:0002000	36
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	has phenotype	lethal - all die before end of P-stage::FBcv:0002000_has phenotype_TER94::FlyBase:FBgn0261014	28
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	enables	VCP::NCBIGene:7415_enables_protein domain specific binding::GO:0019904	8
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	enables	protein domain specific binding::GO:0019904_enables_NFE2L1::NCBIGene:4779	16
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	has phenotype	Drosophila embryo phenotype::FBbt:00000052PHENOTYPE_has phenotype_Jra::FlyBase:FBgn0001291	36
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	in 1 to 1 orthology relationship with	Jra::FlyBase:FBgn0001291_in 1 to 1 orthology relationship with_JUN::NCBIGene:3725	12
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	enables	JUN::NCBIGene:3725_enables_RNA polymerase II distal enhancer sequence-specific DNA binding::GO:0000980	4
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	enables	RNA polymerase II distal enhancer sequence-specific DNA binding::GO:0000980_enables_NFE2L1::NCBIGene:4779	16
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	in 1 to 1 orthology relationship with	Egfr::FlyBase:FBgn0003731_in 1 to 1 orthology relationship with_EGFR::NCBIGene:1956	48
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	is part of	EGFR::NCBIGene:1956_is part of_endoplasmic reticulum membrane::GO:0005789	16
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_some die during pharate adult stage::FBcv:0002038	8
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	has phenotype	some die during pharate adult stage::FBcv:0002038_has phenotype_sgg::FlyBase:FBgn0003371	8
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	in 1 to 1 orthology relationship with	sgg::FlyBase:FBgn0003371_in 1 to 1 orthology relationship with_Gsk3b::MGI:1861437	32
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	involved in	Gsk3b::MGI:1861437_involved in_positive regulation of transcription from RNA polymerase II promoter::GO:0045944	16
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	has phenotype	Pngl::FlyBase:FBgn0033050_has phenotype_wing margin phenotype::FBbt:00005378PHENOTYPE	28
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	has phenotype	wing margin phenotype::FBbt:00005378PHENOTYPE_has phenotype_Egfr::FlyBase:FBgn0003731	28
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	is part of	Gsk3b::MGI:1861437_is part of_protein complex::GO:0043234	16
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	is part of	EGFR::NCBIGene:1956_is part of_integral component of membrane::GO:0016021	16
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	is part of	VCP::NCBIGene:7415_is part of_protein complex::GO:0043234	8
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	in 1 to 1 orthology relationship with	TER94::FlyBase:FBgn0261014_in 1 to 1 orthology relationship with_Vcp::MGI:99919	32
